game_title,image_url,genre,short_description,player_mode
Green Hell,https://images.igdb.com/igdb/image/upload/t_cover_big/co9d3h.jpg,Survival,"Survive the Amazon rainforest in Green Hell! Craft, hunt, and fight your sanity as you battle starvation, predators, and psychological horrors.",Both
Microsoft Flight Simulator 2024,https://images.igdb.com/igdb/image/upload/t_cover_big/co91qm.jpg,Simulation,"Soar through the skies in stunning detail! Microsoft Flight Simulator 2024 delivers unparalleled realism with enhanced aircraft, dynamic weather, and exciting new aviation careers.",Both
Teamfight Tactics,https://images.igdb.com/igdb/image/upload/t_cover_big/co8jux.jpg,Strategy,"Assemble a team of champions, strategize your formations, and battle against other players in this auto-battler game of skill and luck.",Multiplayer
No Man's Sky,https://images.igdb.com/igdb/image/upload/t_cover_big/co8j8v.jpg,Exploration,"Explore a vast, procedurally generated universe. Discover unique planets, creatures, and resources. Trade, fight, and survive in an endless journey of exploration and discovery.",Both
Farming Simulator 25,https://images.igdb.com/igdb/image/upload/t_cover_big/co8fpu.jpg,Simulation,"Cultivate your dream farm in Farming Simulator 25! New crops, animals, and advanced features bring the ultimate farming experience to life.",Both
Tom Clancy's The Division 2,https://images.igdb.com/igdb/image/upload/t_cover_big/co1xrm.jpg,Shooter,"Washington D.C. is in ruins. As a Division agent, fight to save the city from collapse in this post-apocalyptic action RPG with deep customization and intense firefights.",Both
Super Smash Bros. Ultimate,https://images.igdb.com/igdb/image/upload/t_cover_big/co2255.jpg,Fighting,"Gaming icons clash in the ultimate crossover! Battle as beloved characters from Nintendo and beyond in fast-paced, chaotic, and endlessly customizable combat.",Both
Dying Light,https://images.igdb.com/igdb/image/upload/t_cover_big/co65yq.jpg,Survival,"Survive a zombie-infested city using parkour and crafting. Day brings freedom, but night unleashes terrifying Volatiles. Will you make it until dawn?",Both
Sniper Elite: Resistance,https://images.igdb.com/igdb/image/upload/t_cover_big/co9brt.jpg,Shooter,Fight alongside the Resistance in occupied France as elite sniper Karl Fairburne. Eliminate Nazi threats and sabotage their operations in this thrilling WW2 shooter.,Singleplayer
New World: Aeternum,https://images.igdb.com/igdb/image/upload/t_cover_big/co8xyh.jpg,MMORPG,"Explore a supernatural 17th-century island in New World: Aeternum. Forge your destiny in a land of danger, magic, and endless adventure.",Multiplayer
Hello Kitty Island Adventure,https://images.igdb.com/igdb/image/upload/t_cover_big/co6ohb.jpg,Simulation,"Explore a cozy island with Hello Kitty and friends! Craft, decorate, solve puzzles, and build friendships in this adorable life-simulation adventure.",Both
The Headliners,https://images.igdb.com/igdb/image/upload/t_cover_big/co9c24.jpg,Simulation,"Navigate a world of fake news as a news editor in 'The Headliners'. Choose your stories carefully, as each decision impacts society and shapes the future!",Both
Mir Tankov,https://images.igdb.com/igdb/image/upload/t_cover_big/co6q0c.jpg,Action,"Command your tank in intense, realistic WWII battles. Explore a massive arsenal and dominate the battlefield in this thrilling online multiplayer war game.",Multiplayer
The Binding of Isaac: Repentance,https://images.igdb.com/igdb/image/upload/t_cover_big/co949f.jpg,Roguelike,"Descend into a nightmarish roguelike shooter as Isaac, battling grotesque monsters and biblical horrors in a desperate escape from his mother's wrath. Repentance is the ultimate, definitive Binding of Isaac experience.",Singleplayer
Exoborne,https://images.igdb.com/igdb/image/upload/t_cover_big/co9dm3.jpg,Survival,"Brave a post-apocalyptic US ravaged by a cataclysmic event in Exoborne. Use powerful exosuits to survive, explore, and shape a new society in this open-world extraction shooter.",Both
Grand Theft Auto: San Andreas,https://images.igdb.com/igdb/image/upload/t_cover_big/co2lb9.jpg,Action,"Explore the sprawling state of San Andreas as CJ, navigating gang wars, corrupt cops, and personal struggles in this iconic open-world adventure.",Singleplayer
Infinity Nikki,https://images.igdb.com/igdb/image/upload/t_cover_big/co8tdc.jpg,Adventure,"Explore a magical world with Nikki in ""Infinity Nikki,"" a charming open-world dress-up adventure filled with puzzles, quests, and endless fashion possibilities.",Singleplayer
Borderlands 3,https://images.igdb.com/igdb/image/upload/t_cover_big/co20r3.jpg,Shooter,"Loot, shoot, and vault hunt across a crazy galaxy in Borderlands 3! Play as one of four Vault Hunters and stop the Calypso Twins' fanatical cult.",Both
Knight Online,https://images.igdb.com/igdb/image/upload/t_cover_big/co5tgw.jpg,MMORPG,"Forge your legend in Knight Online, a classic MMORPG where you join epic nation battles, conquer dungeons, and rise through the ranks in a world of swords and magic.",Multiplayer
Supermarket Simulator,https://images.igdb.com/igdb/image/upload/t_cover_big/co8guq.jpg,Simulation,"Run your own grocery store! Stock shelves, manage cashiers, and satisfy customers in this surprisingly addictive supermarket simulator.",Singleplayer
